Project,"num_JS,51LGVZTD","size_JS,51LGVZTD_MB",num_JS,size_JS_MB,"num_CSS,31K0JC","size_CSS,31K0JC_MB",num_COM”,size_COM”_MB,"num_JS,11RRJDLDAV","size_JS,11RRJDLDAV_MB",num_CSV,size_CSV_MB,num_EOT,size_EOT_MB,num_Z,size_Z_MB,num_WOFF2,size_WOFF2_MB,num_ICO,size_ICO_MB,num_JSON,size_JSON_MB,num_ZIP,size_ZIP_MB,num_BAT,size_BAT_MB,"num_CSS,01R","size_CSS,01R_MB",num_PNG1653931470,size_PNG1653931470_MB,num_MP4,size_MP4_MB,num_JFIF,size_JFIF_MB,"num_CSS,0","size_CSS,0_MB",num_JPG,size_JPG_MB,num_WOFF,size_WOFF_MB,"num_CSS,31K0","size_CSS,31K0_MB",num_NO EXT,size_NO EXT_MB,num_WEBP,size_WEBP_MB,num_COMÂ,size_COMÂ_MB,num_COMÏ¿½Ï¿½,size_COMÏ¿½Ï¿½_MB,num_LOG,size_LOG_MB,num_APK,size_APK_MB,"num_CSS,01K","size_CSS,01K_MB",num_SVG,size_SVG_MB,num_GIF,size_GIF_MB,num_CUR,size_CUR_MB,num_PNG1701977738,size_PNG1701977738_MB,num_LOCK,size_LOCK_MB,num_AVIF,size_AVIF_MB,num_XML,size_XML_MB,num_PNG1723988117,size_PNG1723988117_MB,num_WEBMANIFEST,size_WEBMANIFEST_MB,num_CS,size_CS_MB,num_SWF,size_SWF_MB,"num_JS,11RRJDLDAVL","size_JS,11RRJDLDAVL_MB",num_PHP,size_PHP_MB,num_INI,size_INI_MB,num_PDF,size_PDF_MB,num_CSS,size_CSS_MB,num_TXT,size_TXT_MB,num_PNG,size_PNG_MB,num_README,size_README_MB,num_TTF,size_TTF_MB,num_OWL,size_OWL_MB,num_LST,size_LST_MB,num_HTML,size_HTML_MB,num_PY,size_PY_MB,num_OTF,size_OTF_MB,num_PNG1701977736,size_PNG1701977736_MB,Total Mirrors,Empty Mirrors,Empty Mirrors,Success Percentage,,,,Project,Total Mirrors,Empty Mirrors,Success Percentage
19/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0,14,0.51,1,0.06,0,0,0,0,20,8,8,60.00%,,,,19/06/2025,20,8,60.00%
14/06/2025,0,0,512,34.24,0,0,3,0,0,0,1,0,249,41.58,0,0,132,8.34,11,0.03,41,0.4,0,0,1,0,0,0,0,0,5,26.14,13,0.19,0,0,658,383.77,144,14.19,0,0,78,8.7,13,0.99,0,0,0,0,0,0,0,0,0,0,293,59.33,20,0.07,3,0,1,0,0,0,1,0.03,2,0.02,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,18.31,427,34.25,4,0.23,1328,122.83,0,0,136,18.64,0,0,0,0,2479,120.71,1,0.06,0,0,1,0.02,137,63,63,54.01%,,,,14/06/2025,137,63,54.01%
15/06/2025,1,0.26,3031,578.1,0,0,8,0,0,0,0,0,484,63.78,0,0,243,13.65,19,0.25,123,1.64,0,0,0,0,0,0,2,0.1,16,210.39,25,1.18,1,0.39,1077,475.85,385,27.45,0,0,69,9.23,89,4.36,0,0,0,0,0,0,0,0,0,0,863,95.36,129,9.02,7,0,1,0,0,0,3,0.08,3,0.02,1,0.01,2,0,2,0.48,1,0.02,0,0,7,0,0,0,11,20.84,1296,92.27,2,0.54,1795,136.42,36,0.01,429,40.09,1,1.89,0,0,7556,426.48,1,0.06,5,0.23,1,0.02,764,524,524,31.41%,,,,15/06/2025,764,524,31.41%
16/06/2025,0,0,3010,576.88,1,0.39,8,0,0,0,0,0,481,63.35,0,0,239,13.02,20,0.26,128,1.65,0,0,0,0,1,0.21,2,0.1,16,210.39,25,1.18,0,0,1073,474.74,375,26.36,0,0,71,9.24,89,4.36,0,0,0,0,0,0,0,0,1,0.26,854,93.83,129,7.27,7,0,1,0,0,0,3,0.08,3,0.02,1,0.01,2,0,0,0,1,0.02,1,0.26,8,0.01,0,0,10,18.76,1293,91.14,2,0.54,1781,135,36,0.01,428,40.12,1,1.89,0,0,7542,425.98,1,0.06,5,0.23,1,0.02,762,522,522,31.50%,,,,16/06/2025,762,522,31.50%
17/06/2025,0,0,3898,622.39,0,0,15,0,1,0.26,0,0,750,108.46,0,0,471,26.39,34,0.31,128,1.46,0,0,0,0,0,0,2,0.1,15,205.76,25,1.18,2,0.48,1913,604.56,605,47.81,1,0.39,73,9.3,89,4.36,2,0,1,0,0,0,0,0,0,0,1063,183.34,129,7.07,7,0,1,0,0,0,3,0.08,3,0.02,1,0.01,2,0,0,0,1,0.02,0,0,9,0.07,0,0,9,12.13,2087,139.15,2,0.75,4429,266.95,36,0.01,667,82.23,0,0,0,0,8368,408.99,1,0.06,1,0.02,1,0.02,824,525,525,36.29%,,,,17/06/2025,824,525,36.29%
18/06/2025,0,0,3723,613.67,0,0,14,0,0,0,0,0,704,101.16,0,0,439,24.67,32,0.3,126,1.46,0,0,0,0,0,0,2,0.1,15,441.98,24,0.99,0,0,1681,582.58,570,44.39,0,0,70,9.13,89,4.36,2,0,1,0,0,0,0,0,0,0,1031,172.62,112,5.97,7,0,1,0,0,0,3,0.08,3,0.02,1,0.01,2,0,0,0,0,0,0,0,8,0,0,0,10,12.76,1961,131.09,2,0.72,4021,253.84,36,0.01,630,75.95,0,0,0,0,8200,386.89,1,0.06,1,0.02,1,0.02,816,538,538,34.07%,,,,18/06/2025,816,538,34.07%
20/06/2025,0,0,3020,576.36,0,0,8,0,0,0,0,0,533,73.53,0,0,309,17.11,7,0.23,123,1.44,0,0,0,0,0,0,2,0.1,13,198.08,23,0.97,0,0,1047,457.55,434,32.3,0,0,125,0.48,88,4.28,1,0,0,0,0,0,0,0,0,0,916,120.7,107,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,9,12.13,1339,96.17,2,0.7,2114,150.52,30,0.01,490,52.42,0,0,0,0,7583,396.26,1,0.06,1,0.02,1,0.02,799,571,571,28.54%,,,,20/06/2025,799,571,28.54%
21/06/2025,0,0,3071,578.53,0,0,8,0,0,0,0,0,531,71.62,0,0,309,17.11,12,0.23,126,1.46,0,0,0,0,0,0,2,0.1,13,198.08,23,0.97,0,0,1045,457.07,433,32.03,0,0,122,0.46,88,4.28,1,0,0,0,0,0,0,0,0,0,893,114.66,107,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,1,0,0,0,0,0,0,0,8,0.01,0,0,9,12.13,1334,95.69,2,0.68,2224,156.36,30,0.01,489,52.34,0,0,0,0,4066,178.59,1,0.06,1,0.02,1,0.02,798,572,572,28.32%,,,,21/06/2025,798,572,28.32%
22/06/2025,0,0,3034,576.59,0,0,7,0,0,0,0,0,517,70.79,0,0,304,17.19,13,0.23,125,1.46,0,0,0,0,0,0,2,0.1,13,198.08,23,0.97,0,0,1007,452.36,426,31.82,0,0,123,0.47,88,4.28,1,0,0,0,0,0,0,0,0,0,914,112.96,107,17.84,7,0,1,0,0,0,3,0.08,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,9,12.13,1309,94.17,2,0.69,2082,152.48,30,0.01,479,50.38,0,0,0,0,7526,393.17,1,0.06,1,0.02,1,0.02,799,574,574,28.16%,,,,22/06/2025,799,574,28.16%
25/06/2025,0,0,2720,558.34,0,0,8,0,0,0,0,0,384,42.23,0,0,253,12.03,6,0.21,99,1.35,0,0,0,0,0,0,2,0.1,12,194.33,12,0.81,0,0,605,138.31,348,21.51,0,0,109,0.41,77,3.44,1,0,0,0,0,0,0,0,0,0,887,85.92,107,17.84,5,0,1,0,0,0,3,0.08,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,9,12.13,1191,86.41,2,0.62,1529,118.76,36,0.01,410,37.55,0,0,0,0,7505,397.48,1,0.06,1,0.02,1,0.02,803,589,589,26.65%,,,,25/06/2025,803,589,26.65%
