File Type,2025-06-24 (Count),2025-06-24 (Size MB)
AVIF,1,0.03
BAT,1,0.00
COM”,3,0.00
CSS,427,34.25
CSV,2,0.00
CUR,3,0.00
DELAYE,1,0.00
DELAYED,6,2.33
EOT,249,41.58
GIF,20,0.07
HTML,2479,120.71
ICO,11,0.03
INI,1,0.00
JFIF,13,0.19
JPG,658,383.77
JS,512,34.24
JSON,41,0.40
LOG,1,0.00
LST,1,0.58
MP4,5,26.14
NO EXT,78,8.70
PDF,6,18.31
PHP,2,0.00
PNG,1328,122.83
PNG1701977736,1,0.02
PNG1701977738,1,0.00
PY,1,0.03
SVG,293,59.33
TTF,136,18.64
TXT,6,2.50
WEBMANIFEST,1,0.00
WEBP,13,0.99
WHTT,1,0.00
WOFF,144,14.19
WOFF2,132,8.34
XML,2,0.02
ZIP,1,51.39
