JS File,Size (KB),Minified,Contains Risky Pattern
14_06_2025\ajax.googleapis.com\ajax\libs\hammerjs\2.0.8\hammer.min.js,20.28,True,True
14_06_2025\ajax.googleapis.com\ajax\libs\jquery\1.9.1\jquery.min.js,90.46,True,True
14_06_2025\ajax.googleapis.com\ajax\libs\jquery\3.2.1\jquery.min.js,84.63,True,True
14_06_2025\ajax.googleapis.com\ajax\libs\jquery\3.3.1\jquery.min.js,84.89,True,True
14_06_2025\ajax.googleapis.com\ajax\libs\jquery\3.4.1\jquery.min.js,86.08,True,True
14_06_2025\ajax.googleapis.com\ajax\libs\jquery\3.6.0\jquery.min.js,87.40,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\app.js,33.77,False,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\apexglobalfxworld.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\apexglobalfxworld.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\apexglobalfxworld.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\apexglobalfxworld.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\apexglobalfxworld.com\assets\js\demo.js,3.81,False,False
14_06_2025\apexglobalfxworld.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\apexglobalfxworld.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\apexglobalfxworld.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\apexglobalfxworld.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\apexglobalfxworld.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\apexglobalfxworld.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\apexglobalfxworld.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\apexglobalfxworld.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\apexglobalfxworld.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\apexglobalfxworld.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\aspirebitwealth.com\account\en\assets\js\app.js,33.77,False,True
