Suspicious Term,Date,File Path
login,2025-06-24,14_06_2025\apexglobalfxworld.com\account\public\login.html
login,2025-06-24,14_06_2025\apexglobalfxworld.com\account\public\login.html
login,2025-06-24,14_06_2025\aspirebitwealth.com\account\public\login.html
login,2025-06-24,14_06_2025\aspirebitwealth.com\account\public\login.html
login,2025-06-24,14_06_2025\astridglobalinvestment.com\account\login.html
login,2025-06-24,14_06_2025\astridglobalinvestment.com\account\login.html
login,2025-06-24,14_06_2025\atsclient.atstradingserviceltd.com\login.html
login,2025-06-24,14_06_2025\atsclient.atstradingserviceltd.com\login.html
login,2025-06-24,14_06_2025\avonequitiesltd.com\assets\img\login-bg.jpg
login,2025-06-24,14_06_2025\avonequitiesltd.com\assets\img\login-bg.jpg
login,2025-06-24,14_06_2025\certifiedtrade.net\app\login.html
login,2025-06-24,14_06_2025\certifiedtrade.net\app\login.html
login,2025-06-24,14_06_2025\copyvestpro.com\account\public\login.html
login,2025-06-24,14_06_2025\copyvestpro.com\account\public\login.html
login,2025-06-24,14_06_2025\eliteminerproinvestment.com\account\public\login.html
login,2025-06-24,14_06_2025\eliteminerproinvestment.com\account\public\login.html
login,2025-06-24,14_06_2025\forbescapitaltrade.com\account\public\login.html
login,2025-06-24,14_06_2025\forbescapitaltrade.com\account\public\login.html
login,2025-06-24,14_06_2025\globalproinvestment.com\account\login.html
login,2025-06-24,14_06_2025\globalproinvestment.com\account\login.html
login,2025-06-24,14_06_2025\horizonprofitchasers.com\account\public\login.html
login,2025-06-24,14_06_2025\horizonprofitchasers.com\account\public\login.html
login,2025-06-24,14_06_2025\horizonxprexbs.com\account\public\login.html
login,2025-06-24,14_06_2025\horizonxprexbs.com\account\public\login.html
login,2025-06-24,14_06_2025\premiumcryptolite.com\account\login.html
login,2025-06-24,14_06_2025\premiumcryptolite.com\account\login.html
login,2025-06-24,14_06_2025\promarketspot.com\account\public\login.html
login,2025-06-24,14_06_2025\promarketspot.com\account\public\login.html
login,2025-06-24,14_06_2025\user.verbofx.com\member\login
login,2025-06-24,14_06_2025\user.verbofx.com\member\login
login,2025-06-24,14_06_2025\vasttradenetwork.com\my-account\login
login,2025-06-24,14_06_2025\vasttradenetwork.com\my-account\login
admin,2025-06-24,14_06_2025\atstradingserviceltd.com\wp-admin
admin,2025-06-24,14_06_2025\atstradingserviceltd.com\author\admin
admin,2025-06-24,14_06_2025\atstradingserviceltd.com\wp-admin\admin-ajax.html
admin,2025-06-24,14_06_2025\caddingtonlimited.com\wp-admin
admin,2025-06-24,14_06_2025\caddingtonlimited.com\wp-admin\admin-ajax.html
admin,2025-06-24,14_06_2025\caddingtonlimited.com\wp-content\uploads\2024\02\financial-admin-img.png
admin,2025-06-24,14_06_2025\pinnaclesassetmanagement.com\responsive-admin.css
admin,2025-06-24,14_06_2025\pinnaclesassetmanagement.com\style-admin.css
password,2025-06-24,14_06_2025\apexglobalfxworld.com\account\public\password
password,2025-06-24,14_06_2025\apexglobalfxworld.com\account\public\password
password,2025-06-24,14_06_2025\apexglobalfxworld.com\account\public\password
password,2025-06-24,14_06_2025\aspirebitwealth.com\account\public\password
password,2025-06-24,14_06_2025\aspirebitwealth.com\account\public\password
password,2025-06-24,14_06_2025\aspirebitwealth.com\account\public\password
password,2025-06-24,14_06_2025\astridglobalinvestment.com\account\forgot-password.html
password,2025-06-24,14_06_2025\astridglobalinvestment.com\account\forgot-password.html
password,2025-06-24,14_06_2025\astridglobalinvestment.com\account\forgot-password.html
password,2025-06-24,14_06_2025\certifiedtrade.net\app\forgot-password.html
password,2025-06-24,14_06_2025\certifiedtrade.net\app\forgot-password.html
password,2025-06-24,14_06_2025\certifiedtrade.net\app\forgot-password.html
