URL,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-20,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,2025-05-28,2025-05-29,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-12,2025-07-15
http://webmail.gffxx.com,Alive,Alive,Alive,Not alive,Not alive,,,,,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive
http://www.standardsafetrust.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,Alive,Alive,Alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive
https://10xtradingtimeoptionsv3.com,,,,,,,,,,,,,,,,,,,,,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive
https://247-smartfactory.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403,Status 403
https://247markettrade.com,Not alive,Alive,Not alive,Not alive,Alive,,,,,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive
https://247primesummit.com,,,,,,,,,,,,,,,,,,,,,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive,Not alive
https://68ea-idn.com,Not alive,Not alive,Not alive,Not alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive
https://68ea-mys.com,Not alive,Alive,Not alive,Alive,Not alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive
https://68ea-us.com,Not alive,Alive,Not alive,Not alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive
https://68ea.app,Alive,Alive,Alive,Alive,Not alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive,Alive
