Ping_Timestamp_NZ,URL,Status,HTTP_Code,DNS_TLD,nca_registration_date,modification_date
2025-06-13 22:00:02 NZST,https://soltcll.net,Not Alive,Error,net,2025-06-11,2025-06-12
2025-06-13 22:00:08 NZST,https://atstradingserviceltd.com,Not Alive,Error,com,2025-06-11,2025-06-12
2025-06-13 22:00:08 NZST,https://atsclient.atstradingserviceltd.com,Alive,200,com,2025-06-11,2025-06-12
2025-06-13 22:00:09 NZST,https://avonequitiesltd.com/,Alive,200,com,2025-06-11,2025-06-12
2025-06-13 22:00:10 NZST,https://promarketspot.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:11 NZST,https://premiumcryptolite.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:12 NZST,https://pinnaclesassetmanagement.com,Not Alive,Error,com,2025-06-10,2025-06-10
2025-06-13 22:00:12 NZST,https://horizonxprexbs.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:13 NZST,https://horizonprofitchasers.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:14 NZST,https://globalproinvestment.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:14 NZST,https://globalapexmarket.com,Status 410,410,com,2025-06-10,2025-06-10
2025-06-13 22:00:15 NZST,https://forbescapitaltrade.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:16 NZST,https://eliteminerproinvestment.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:16 NZST,https://copyvestpro.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:17 NZST,https://coinlog.net,Alive,200,net,2025-06-10,2025-06-10
2025-06-13 22:00:18 NZST,https://certifiedtrade.net,Alive,200,net,2025-06-10,2025-06-10
2025-06-13 22:00:19 NZST,https://astridglobalinvestment.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:19 NZST,https://aspirebitwealth.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:20 NZST,https://apexglobalfxworld.com,Alive,200,com,2025-06-10,2025-06-10
2025-06-13 22:00:21 NZST,https://trade.bitwaveequity.com,Status 403,403,com,2025-06-10,2025-06-10
2025-06-13 22:00:21 NZST,https://bitwaveequity.com,Status 403,403,com,2025-06-10,2025-06-10
2025-06-13 22:00:22 NZST,https://finiwise.com,Not Alive,Error,com,2025-06-05,2025-06-09
2025-06-13 22:00:23 NZST,https://coursados.com,Alive,200,com,2025-06-05,2025-06-09
2025-06-13 22:00:24 NZST,https://superswiss.com,Not Alive,Error,com,2025-05-13,2025-06-04
2025-06-13 22:00:24 NZST,https://zenithfx.co,Not Alive,Error,co,2025-05-13,2025-06-04
2025-06-13 22:00:26 NZST,https://caddingtonlimited.com,Alive,200,com,2025-06-04,2025-06-04
2025-06-13 22:00:26 NZST,https://zavrox.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:27 NZST,https://arbitervault.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:28 NZST,https://bitinby.com,Not Alive,Error,com,2025-05-27,2025-06-03
2025-06-13 22:00:28 NZST,https://bitobase.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:29 NZST,https://cenorim.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:30 NZST,https://cenvor.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:30 NZST,https://cepez.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:31 NZST,https://cevonor.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:31 NZST,https://cloudxbit.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:32 NZST,https://clunio.com,Not Alive,Error,com,2025-05-27,2025-06-03
2025-06-13 22:00:33 NZST,https://coinfuse.io,Not Alive,Error,io,2025-05-27,2025-06-03
2025-06-13 22:00:33 NZST,https://colenex.com,Status 403,403,com,2025-05-27,2025-06-03
2025-06-13 22:00:34 NZST,https://comtrex.pro,Not Alive,Error,pro,2025-05-27,2025-06-03
2025-06-13 22:00:34 NZST,https://dexn.cc,Not Alive,Error,cc,2025-05-27,2025-06-03
2025-06-13 22:00:35 NZST,https://eurex-crypto.eu,Status 403,403,eu,2025-05-27,2025-06-03
2025-06-13 22:00:36 NZST,https://genemybit.com,Not Alive,Error,com,2025-05-27,2025-06-03
2025-06-13 22:00:36 NZST,https://jorerx.com,Not Alive,Error,com,2025-05-27,2025-06-03
